0.9,0.04,5.7037
0.28,0.78,9.2282
0.51,0.88,9.9964
0.12,0.68,8.3595
0.85,0.57,7.9569
0.39,0.68,9.0824
0.21,0.07,6.187
0.01,0.07,5.8678
0.36,0.99,10.141
0.85,0.22,6.595
0.67,0.73,9.3341
0.14,0.99,9.6269
0.91,0.19,6.2687
0.25,0.34,7.2973
0.17,0.59,8.1404
0.19,0.2,6.7577
0.12,0.77,8.7582
0.5,0.51,8.6435
0.32,0.15,6.9043
0.8,0.08,6.2359
0.22,0.08,6.2385
0.62,0.17,7.1059
0.83,0.29,6.8407
0.71,0.02,6.1308
0.94,0.66,8.1892
0.28,0.52,8.174
0.02,0.55,7.7005
0.87,0.22,6.4395
0.71,0.59,8.5146
0.42,0.33,7.6957
0.59,0.51,8.4562
0.21,0.14,6.4966
0.68,0.84,9.6497
0.69,0.27,7.1671
0.3,0.28,7.3624
0.22,0.56,8.1576
0.48,0.9,10.11
0.03,0.26,6.5209
0.72,0.17,6.7918
0.63,0.12,6.7511
0.39,0.55,8.5434
0.89,0.41,7.3294
0.76,0.98,9.9086
0.36,0.59,8.6206
0.15,0.54,7.8704
0.65,0.7,9.0344
0.6,0.05,6.6072
0.57,0.54,8.6032
0.87,0.83,8.9751
0.37,0.76,9.4886
0.44,0.67,9.1869
0.45,0.15,7.0844
0.46,0.3,7.7608
0.06,0.61,7.9702
0.75,0.7,8.8234
0.41,0.26,7.5281
0.05,0.22,6.3742
0.63,0.54,8.5188
0.48,0.45,8.2168
0.6,0.59,8.692
0.48,0.3,7.7274
0.76,0.9,9.4882
0.71,0.14,6.6626
0.16,0.39,7.3122
0.96,1,9.5097
0.93,0.14,6.1411
0.73,0.38,7.6111
0.38,0.4,7.9763
0.58,0.64,8.8991
0.56,0.77,9.5846
0.83,0.66,8.3631
0.76,0.89,9.5797
0.17,0.82,9.0586
0.45,0.93,10.19
0.73,0.99,10.01
0.95,0.78,8.6515
0.64,0.82,9.6344
0.75,0.97,9.8939
0.45,0.77,9.6115
0.9,0.45,7.3347
0.89,0.89,9.2984
0.02,0.09,5.9596
0.2,0.95,9.6198
0.85,0.05,5.9217
0.13,0.41,7.3964
0.77,0.51,8.0279
0.24,0.32,7.3235
0.12,0.55,7.8175
0.43,0.45,8.2995
0.73,0.77,9.0739
0.85,0.32,7.0561
0.62,0.03,6.4481
0.27,0.13,6.5233
0.43,0.85,9.8362
0.21,0.13,6.4077
0.15,0.02,5.8089
0.69,1,10.203
0.66,0.77,9.3813
0.28,0.5,8.2099
0.13,0.14,6.1432
0.44,0.55,8.6549
0.3,0.24,7.1995
0.53,0.41,8.0463
0.78,0.4,7.45
0.86,0.27,6.6733
0.18,0.43,7.5093
0.5,0.39,8.1062
0.69,0.03,6.3422
0.12,0.79,8.7658
0.41,0.65,9.016
0.46,0.79,9.5807
0.89,0.97,9.5862
0.47,0.05,6.6915
0.89,0.96,9.4543
0.33,0.66,8.8359
0.67,0.4,7.8934
0.32,0.41,7.8626
0.89,0.9,9.2206
0.69,0.42,7.8159
0.27,0.77,9.2221
0.34,0.09,6.6613
0.31,0.18,6.821
0.43,0.29,7.68
0.19,0.57,8.051
0.07,0.48,7.4285
0.79,0.14,6.4431
0.45,0.57,8.7244
0.58,0.04,6.7018
0.5,0.96,10.383
0.86,0.3,6.8578
0.08,0.69,8.276
0.19,0.78,8.9688
0.51,0.72,9.3409
0.36,0.17,7.0679
0.12,0.88,9.1567
0.07,0.38,7.0898
0.21,0.28,6.9322
0.38,0.53,8.5863
0.54,0.13,6.9789
0.08,0.83,8.9628
0.59,0.08,6.7973
0.89,0.84,8.8482
0.2,0.65,8.4313
0.15,0.42,7.4415
0.24,0.64,8.5117
0.88,0.31,6.9114
0.66,0.72,9.1342
0.19,0.42,7.6165
0.3,0.2,6.9342
0.96,0.14,6.1093
0.06,0.58,7.8656
0.05,0.69,8.2364
0.88,0.6,8.0231
0.38,0.01,6.3719
0.86,0.08,5.9901
0.05,0.52,7.7177
0.83,0.89,9.3651
0.22,0.57,8.0512
0.28,0.79,9.199
0.43,0.31,7.7138
0.15,0.74,8.6518
0.55,0.66,9.1948
0.92,0.4,7.2117
0.21,0.03,6.0335
0.24,0.88,9.4427
0.52,0.18,7.2104
0.63,0.01,6.5136
0.49,0.88,9.9594
0.85,0.29,6.8375
0.51,0.48,8.4505
0.09,0.17,6.2706
0.09,0.86,9.0572
0.18,0.63,8.2576
0.5,0.88,10.01
0.68,0.77,9.2828
0.22,0.07,6.2312
0.38,0.41,8.0094
0.12,0.78,8.7481
0.56,0,6.4292
0.08,0.64,8.1266
0.59,0.42,8.0727
0.17,0.89,9.2939
0.45,0.27,7.5286
0.83,0.55,7.9952
0.98,0.14,6.0245
0.28,0.75,9.1215
0.6,0.92,9.9357
0.06,0.98,9.4865
0.29,0.72,8.8903
0.92,0.03,5.7002
