0.452,3.2895
0.831,3.1152
0.544,3.2187
0.002,4.0117
0.386,3.3308
0.64,3.2261
0.098,3.6603
0.017,3.983
0.687,3.0703
0.063,3.8008
0.269,3.4549
0.237,3.4258
0.953,3.0545
0.944,3.1056
0.087,3.7654
0.583,3.1496
0.108,3.7436
0.185,3.6679
0.8,3.1004
0.242,3.4111
0.811,3.1501
0.156,3.541
0.153,3.563
0.935,3.0746
0.42,3.2757
0.041,3.9796
0.381,3.2817
0.032,3.9025
0.13,3.6363
0.608,3.2234
0.248,3.4132
0.881,3.1508
0.542,3.1389
0.821,3.117
0.344,3.3161
0.378,3.3793
0.491,3.2675
0.114,3.6845
0.277,3.3485
0.385,3.4319
0.376,3.3832
0.874,3.0703
0.535,3.1907
0.253,3.5702
0.053,3.8594
0.355,3.2984
0.356,3.3132
0.963,3.066
0.781,3.0438
0.827,3.0864
0.888,3.1138
0.467,3.2722
0.151,3.4896
0.834,3.0195
0.643,3.0719
0.35,3.2938
0.862,2.9719
0.027,3.9664
0.134,3.7611
0.823,3.1628
0.105,3.6136
0.426,3.2649
0.065,3.8188
0.654,3.0841
0.902,3.0997
0.556,3.1965
0.212,3.5839
0.209,3.49
0.514,3.1829
0.885,3.1138
0.723,3.1342
0.661,3.0616
0.782,3.0647
0.554,3.2922
0.76,3.1075
0.049,3.7885
0.769,2.997
0.369,3.2576
0.182,3.5212
0.618,3.185
0.048,3.9817
0.759,3.1356
0.647,3.1711
0.855,3.164
0.532,3.2339
0.568,3.2163
0.128,3.7044
0.794,3.186
0.043,3.8485
0.11,3.671
0.871,3.1276
0.992,3.0919
0.101,3.6234
0.765,3.1124
0.322,3.342
0.812,3.0643
0.047,3.9125
0.774,3.1424
0.693,3.071
0.843,3.1582
0.472,3.2418
0.817,2.9857
0.747,3.0823
0.297,3.5337
0.143,3.6615
0.819,3.0043
0.255,3.4044
0.971,3.0826
0.368,3.2932
0.609,3.1994
0.01,3.9843
0.549,3.1619
0.956,3.1242
0.396,3.3421
0.41,3.2696
0.663,3.1312
0.987,3.0273
0.196,3.5496
0.534,3.1363
0.5,3.1877
0.704,3.0508
0.547,3.3608
0.183,3.5296
0.023,3.9186
0.906,2.9434
0.552,3.2212
0.008,3.9447
0.784,3.1115
0.417,3.3275
0.284,3.2908
0.241,3.3357
0.905,3.0032
0.91,2.9371
0.506,3.1813
0.525,3.0309
0.398,3.2853
0.662,3.0456
0.78,3.0317
0.404,3.3604
0.974,3.1075
0.675,3.1056
0.504,3.1124
0.43,3.1745
0.915,2.9362
0.187,3.6757
0.833,3.0722
0.912,3.0892
0.1,3.763
0.025,3.8655
0.339,3.2042
0.176,3.5858
0.846,3.0729
0.317,3.2711
0.854,3.0708
0.037,3.9603
0.786,3.1142
0.186,3.5296
0.132,3.75
0.582,3.1461
0.394,3.3519
0.439,3.255
0.84,3.1306
0.878,3.023
0.146,3.7571
0.287,3.4481
0.49,3.1385
0.562,3.0368
0.644,3.2602
0.841,3.1344
0.216,3.5714
0.397,3.2145
0.465,3.2169
0.922,3.0262
0.981,3.0078
0.126,3.6939
0.431,3.1532
0.109,3.649
0.665,3.0014
0.842,3.0411
0.645,3.1032
0.233,3.4926
0.805,3.0005
0.424,3.1937
0.986,3.0435
0.442,3.1934
0.71,3.1324
0.664,3.1017
0.342,3.4753
0.577,3.084
0.334,3.2925
0.323,3.4746
0.939,3.0684
0.305,3.3998
0.429,3.2963
0.695,3.0961
0.337,3.3575
0.799,3.019
0.412,3.2406
0.296,3.3962
0.9,3.0981
0.967,2.9735
0.682,3.2289
0.948,3.0786
0.219,3.4858
0.613,3.0912
0.078,3.8319
0.56,3.1624
0.982,3.0329
0.235,3.4393
0.683,3.059
0.602,3.1501
0.422,3.2776
